Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY CENTRO HNOS ALDAMA,1817,10,HZ2TCALR5TZ010643,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY FRESNILLO CENTRO,1886,10,HZ2TCALR4TZ010682,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SALAMANCA PLAZA VIA ALTA L1018A,1415,10,HZ2TCALR5TZ009539,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SAN FCO DEL RINCON GALERIAS,1822,10,HZ2TCALR9TZ010001,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SAN LUIS DE LA PAZ CENTRO,1855,10,HZ2TCALR5TZ010027,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SLP CENTRO PIPILA,1788,10,HZ2TCALR0TZ011988,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SLP CENTRO PIPILA,1788,10,HZ2TCALR4TZ010049,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SLP RIO VERDE CENTRO,1759,10,HZ2TCALR7TZ007078,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY SOLEDAD DE GRACIANO CENTRO,1837,10,HZ2TCALR4TZ012013,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,MACROPAY TAMPICO CENTRO ADUANA,1753,10,HZ2TCALR4TZ010665,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS SAN LUIS,SAN LUIS POTOSI FUNDADORES,1912,10,HZ2TCALR3TZ010009,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,CEDIS MACROPAY TABASCO PXGL,14,140,HZ2TCALRXTZ011142,1,$22785.78,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY ACAYUCAN CENTRO,1789,10,HZ2TCALRXTZ010587,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY BERRIOZABAL CENTRAL NORTE L2,1335,10,HZ2TCALR6TZ011378,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY CARDENAS PORTALES CENTRO,1802,10,HZ2TCALR2TZ009241,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY CD DEL CARMEN CALLE 22 MOTOS,1811,10,3SABD1GD5T1000648,1,$22851.78,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY COATZA MERCADO MORELOS,1803,10,HZ2TCALR6TZ011834,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY COATZACOALCOS JUAREZ MOTOS,1796,10,HZ2TCALR1TZ009229,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY COATZACOALCOS JUAREZ MOTOS,1796,10,HZ2TCALR9TZ011181,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY MAPASTEPEC FCO SARABIA,1420,10,3SABD1GD7T1000733,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,HZ2TCALR4TZ010617,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,HZ2TCALRXTZ010976,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY PALENQUE 2ND PONIENTE,1170,10,3SABD1GD6T1000710,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY PALENQUE BENITO JUAREZ,1737,10,HZ2TCALRXTZ003915,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY PARAISO CENTRO,1819,10,3SABD1GD7T1000635,1,$22504.66,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY PICHUCALCO ZARAGOZA,1276,10,HZ2TCALR3TZ010673,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY SAN ANDRES TUXTLA MADERO,1221,10,HZ2TCALR9TZ010614,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY SAN CRISTOBAL INSURGENTES,1568,10,HZ2TCALR7TZ010725,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY TAPACHULA 1A PONIENTE,1175,10,HZ2TCALR4TZ011850,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY VERACRUZ CD ISLA RAUL SANDOVAL,1760,10,HZ2TCALR1TZ010672,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY VILLA PINO SUAREZ,1157,10,HZ2TCALR8TZ011172,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,CEDIS TAB PXGL,MACROPAY VILLAFLORES LAS FLORES L4-5,1460,10,HZ2TCALR7TZ011342,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,PROVEEDOR,MACROPAY MISION SOLER TIJUANA,1824,10,HZ2TCALR4TZ011184,1,$22879.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,PROVEEDOR,MACROPAY MISION SOLER TIJUANA,1824,10,HZ2TCALR9TZ011133,1,$22879.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, AZUL",SCOOTER,VENTA DINAMO,MACROPAY IXHUATAN LIBERTAD,1267,10,3SABD1GD7T1000425,1,$22399.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, ORO",SCOOTER,CEDIS CDMX,MACROPAY ACAPULCO JESUS CARRANZA,1761,10,HZ2TCALR5TZ004552,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, ORO",SCOOTER,CEDIS GDL,MACROPAY APATZINGAN CENTRO ANDRADE,1832,10,HZ2TCALR7TZ003029,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, ORO",SCOOTER,CEDIS GDL,MACROPAY MANZANILLO CENTRO AV MEXICO,1763,10,HZ2TCALR6TZ002941,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, ORO",SCOOTER,CEDIS GDL,MACROPAY TECOMAN ALDAMA 52,1571,10,3SABD1GD8T1000224,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS CASTORO 180CC, ORO",SCOOTER,CEDIS GDL,MACROPAY TECOMAN ALDAMA 52,1571,10,HZ2TCALR6TZ003068,1,$21699.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY ACAPULCO MULTIPLAZA PALMAS L20,1751,10,3SAGE1GA1T1002180,1,$22520.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY ALAMO CENTRO,1870,10,3SAGE1GA2T1001930,1,$22535.96,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY APIZACO ANTIGUA ESTACION,1208,10,3SAGE1GA7T1002197,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY BANDERILLA JUAREZ,1202,10,3SAGE1GA1T1001904,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX CHEDRAUI TENAYUCA L6-7,1564,10,3SAGE1GA9T1002234,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX CUAUHTEMOC LE2,1439,10,3SAGE1GA9T1001732,1,$22645.40,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX PARQUE ALAMEDA L B21,1700,10,3SAGE1GA3T1001810,1,$22572.19,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX PARQUE JARDIN LB05,1558,10,3SAGE1GA9T1002041,1,$22540.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX PLAZA TLATELOLCO L N1 18,1720,10,3SAGE1GA6T1001543,1,$22572.20,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX SERVIPLAZA EL ROSARIO,1422,10,3SAGE1GA0T1002106,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CDMX VIA MIXHUCA L4,1315,10,3SAGE1GA9T1002587,1,$22520.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CRUCECITA HUATULCO EL MADERO L6,1266,10,3SAGE1GA0T1002591,1,$22535.96,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CUAU CENTRO SAN MIGUEL L15,1303,10,3SAGE1GA8T1002211,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY CUAU DE ROMERO PLAZA LD02,1306,10,3SAGE1GA3T1002813,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY EL PUEBLITO CITADINA L30,1480,10,3SAGE1GA8T1001883,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY EMILIANO ZAPATA CHEDRAUI LD08,1479,10,3SAGE1GA9T1002752,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY EZEQUIEL MONTES CENTRO,1903,10,3SAGE1GA7T1001731,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY HUAJUAPAN B. JUAREZ,1129,10,3SAGE1GA2T1001989,1,$22730.62,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY HUAJUAPAN CENTRO,1779,10,3SAGE1GA5T1002179,1,$22606.95,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY LERMA SORIANA CENTRO L10,1823,10,3SAGE1GAXT1001254,1,$22645.39,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY METEPEC LA PILITA L39,1502,10,3SAGE1GA6T1002272,1,$22520.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY MINERAL DE LA REFORMA FELIPE,1397,10,3SAGE1GA0T1002171,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY OAX VALERIO TRUJANO,1132,10,3SAGE1GA7T1002054,1,$22606.95,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PACHUCA IGNACIO ALLENDE,1471,10,3SAGE1GA5T1002134,1,$22673.78,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PACHUCA VERTICE L13,1288,10,3SAGE1GA6T1002126,1,$22499.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PACHUCA ZARAGOZA 100-B,1453,10,3SAGE1GA4T1002223,1,$22673.78,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PEROTE HUMBOLDT,1190,10,3SAGE1GA2T1002043,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PIRAMIDES JUSTO SIERRA,1298,10,3SAGE1GA6T1002868,1,$22679.30,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PLAZA COACALCO CHEDRAUI L1,1611,10,3SAGE1GA8T1001933,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PUE PLAZA DORADA LG,1766,10,3SAGE1GA6T1000571,1,$22499.31,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY PUE SAN JERONIMO L5,1541,10,3SAGE1GA3T1002116,1,$22535.96,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TECOZAUTLA FRAY SAN JUAN,1327,10,3SAGE1GAXT1002615,1,$22499.73,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TEHUACAN 5 SUR,1138,10,3SAGE1GA3T1002715,1,$22679.30,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TEHUACAN EL PASEO L1,1277,10,3SAGE1GA4T1002531,1,$22520.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TEQUISQUIAPAN PZA PEDREGAL LF5,1477,10,3SAGE1GA9T1002511,1,$22520.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TIZAYUCA HIMNO NACIONAL,1426,10,3SAGE1GA0T1003000,1,$22517.33,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA ENCUENTRO L29,1400,10,3SAGE1GA7T1002961,1,$22560.11,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TLAXCOAPAN CALLE ABSOLO,1251,10,3SAGE1GA9T1002699,1,$22679.30,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TOLUCA HIDALGO MOTOS,1747,10,3SAGE1GA9T1001908,1,$22616.94,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY TOLUCA MIGUEL HIDALGO,1725,10,3SAGE1GAXT1001979,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY VERACRUZ AV MATAMOROS NORTE,1721,10,3SAGE1GA0T1002381,1,$22499.52,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,MACROPAY ZACATLAN CALLE 5,1166,10,3SAGE1GA4T1002982,1,$22560.10,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CDMX,TECPAN DE GALEANA CENTRO,1929,10,3SAGE1GA0T1002722,1,$22513.26,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,CEDIS CULIACAN,28,140,3SAGE1GA3T1002245,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,HERMOSILLO CENTRO MERCADO,1920,10,3SAGE1GA7T1001700,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY CANATLAN CENTRO,1871,10,3SAGE1GA3T1002844,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY CULIACAN PABELLON LCA 2,1818,10,3SAGE1GA4T1001914,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY CULIACAN PABELLON LCA 2,1818,10,3SAGE1GA9T1001665,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY DURANGO CENTRO,1865,10,3SAGE1GA2T1002768,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY HERMOSILLO CENTRO NORIEGA,1911,10,3SAGE1GA9T1001939,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS CULIACAN,MACROPAY LA PAZ MERCADO MADERO,1805,10,3SAGE1GA1T1001644,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY APATZINGAN CENTRO ANDRADE,1832,10,3SAGE1GA6T1002465,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY GDL EL FRESNO,1905,10,3SAGE1GA0T1002882,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY MANZANILLO CENTRO AV MEXICO,1763,10,3SAGE1GA5T1002943,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY MORELIA CENTRO SORIANA L 022,1712,10,3SAGE1GA4T1001721,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY URUAPAN CENTRO,1816,10,3SAGE1GA0T1002476,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS GDL,MACROPAY ZAMORA MICH FCO I MADERO 288,1706,10,3SAGE1GA5T1001808,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,BACALAR AVENIDA 7,1908,10,3SAGE1GA3V1002880,1,$23993.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,BACALAR AVENIDA 7,1908,10,3SAGE1GA7T1002765,1,$23993.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,CEDIS MERIDA PXGL,26,140,3SAGE1GA0V1002707,1,$23322.09,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,CEDIS MERIDA PXGL,26,140,3SAGE1GA2V1002675,1,$23322.09,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,CEDIS MERIDA PXGL,26,140,3SAGE1GA2V1003034,1,$23322.09,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,CEDIS MERIDA PXGL,26,140,3SAGE1GA3V1002748,1,$23322.09,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,CEDIS MERIDA PXGL,26,140,3SAGE1GA7V1002820,1,$23322.09,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CAMPECHE CALLE 53 CATEDRAL,1754,10,3SAGE1GA8T1002127,1,$23285.88,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CARRILLO PTO CALLE 7,1123,10,3SAGE1GA4T1002402,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CENOTILLO CALLE 19,1054,10,3SAGE1GA1T1002261,1,$23858.49,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CHT MOTOS OTHON,1738,10,3SAGE1GA7T1002927,1,$23296.60,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CHT MOTOS OTHON,1738,10,3SAGE1GAXV1002679,1,$23296.60,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CUN CHEDRAUI MUNDO MAYA,1877,10,3SAGE1GA2T1002995,1,$23303.99,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY CUN PLAZA HEROES MOTOS,1752,10,3SAGE1GA1T1002986,1,$23474.12,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY ESCARCEGA J SIERRA MOTOS,1797,10,3SAGE1GA6T1002322,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY ESCARCEGA J SIERRA MOTOS,1797,10,3SAGE1GA7T1002605,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY IZAMAL MOTOS,1907,10,3SAGE1GAXT1002100,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY MID CALLE 63,1003,10,3SAGE1GA0T1002977,1,$23430.68,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY MID CHAPUR,1005,10,3SAGE1GA4T1002979,1,$23430.69,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY MID KUKULCAN L03,1390,10,3SAGE1GA9T1002136,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY MID MACROPLAZA L B21,1013,10,3SAGE1GA8T1002337,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY OXKUTZCAB CALLE 49,1072,10,3SAGE1GA6T1002336,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY PETO CALLE 31,1093,10,3SAGE1GA8T1001690,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY TEKIT CALLE 26,1391,10,3SAGE1GA7T1002152,1,$24044.99,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY TICUL CALLE 26,1045,10,3SAGE1GA9T1002881,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY TULUM ARRICE MOTOS,1844,10,3SAGE1GA8T1002256,1,$24475.68,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY TULUM CHEDRAUI L01 PLUS,1916,10,3SAGE1GAXT1001626,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY TZUCACAB CALLE 20,1531,10,3SAGE1GA6T1001977,1,$24045.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY VALLADOLID MOTOS CALLE 39,1748,10,3SAGE1GA6T1001669,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS MID,MACROPAY VALLADOLID MOTOS CALLE 39,1748,10,3SAGE1GAXT1001237,1,$23199.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SALTILLO,MACROPAY SALTILLO SENDERO SUR LE7-9,1923,10,3SAGE1GA6T1001557,1,$22999.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SALTILLO,MACROPAY SAN PEDRO COAHUILA CENTRO,1859,10,3SAGE1GA8V1002857,1,$22999.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SALTILLO,MACROPAY STA CATARINA SENDERO LC08,1924,10,3SAGE1GA9V1002866,1,$22999.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SALTILLO,MACROPAY TORREON SORIANA INDEPEND L8,1719,10,3SAGE1GA3T1001726,1,$22999.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SAN LUIS,CD MANTE CENTRO,1888,10,3SAGE1GA3T1003041,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SAN LUIS,MACROPAY AGUASCALIENTES V ASUNCION,1857,10,3SAGE1GA1T1003006,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SAN LUIS,MACROPAY CENTRO HNOS ALDAMA,1817,10,3SAGE1GA8T1002001,1,$22499.00,0,$0,0,0
BODESA,"MOTO BDS HAWK 200CC, NEGRO",STREET,CEDIS SAN LUIS,MACROPAY SALAMANCA PLAZA VIA ALTA L1018A,1415,10,3SAGE1GA7T1002250,1,$22499.00,0,$0,0,0
