Proveedor,Texto breve material,CATEGORIA,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY HUAMANTLA MORELOS PTE,1769,10,MD2C19BX0TWH52241,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY HUEJOTZINGO CARLOS B ZETINA,1233,10,MD2C19BX7TWH52267,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY PINOTEPA LAS FLORES L1,1456,10,MD2C19BXXTWH52263,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA CENTRO,1902,10,MD2C19BX3TWH52119,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA MULTI ARBOLEDAS,1755,10,MD2C19BX8TWH52231,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TLALNEPANTLA MULTI ARBOLEDAS,1755,10,MD2C19BX9TWH52268,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TOLUCA HIDALGO MOTOS,1747,10,MD2C19BX8TWH53007,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TOLUCA MIGUEL HIDALGO,1725,10,MD2C19BX6TWH52230,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY TULANCINGO CUAHUTEMOC L6,1250,10,MD2C19BXXTWH52246,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY ZIMAPAN CORONA,1325,10,MD2C19BX0TWH52126,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CDMX,MACROPAY ZUMPANGO FEDERICO GOMEZ,1475,10,MD2C19BXXTWH52229,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS CULIACAN,MACROPAY MAZATLAN CENTRO,1863,10,MD2C19BXXTWH52912,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS GDL,MACROPAY MANZANILLO CENTRO AV MEXICO,1763,10,MD2C19BX6TWH52907,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS GDL,MACROPAY ZIHUATANEJO CENTRO,1853,10,MD2C19BX7TWH52124,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS MID,MACROPAY ESCARCEGA J SIERRA MOTOS,1797,10,MD2C19BX3TWH52105,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS SALTILLO,MACROPAY MATAMOROS PATIO L25C,1927,10,MD2C19BX5TWH52915,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS SALTILLO,MACROPAY SAN PEDRO COAHUILA CENTRO,1859,10,MD2C19BX1TWH52913,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS SAN LUIS,MACROPAY AGUASCALIENTES V ASUNCION,1857,10,MD2C19BX7TWH52138,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS SAN LUIS,MACROPAY CELAYA PARQUE LB16,1892,10,MD2C19BX7TWH52141,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY CD DEL CARMEN CALLE 22 MOTOS,1811,10,MD2C19BX4TWH52176,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY COATZACOALCOS JUAREZ MOTOS,1796,10,MD2C19BX2TWH52127,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY COMALCALCO CHEDRAUI L 2,1211,10,MD2C19BX1TWH52930,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY COMALCALCO SANCHEZ,1099,10,MD2C19BX7TWH52172,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY HUIMANGUILLO BENITO JUAREZ,1699,10,MD2C19BX5TWH52932,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY MACUSPANA MIGUEL H 332,1094,10,MD2C19BX6TWH52177,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY MATIAS ROMERO MOTOS CENTRO,1868,10,MD2C19BX4TWH52131,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY MINATITLAN MIGUEL HID MOTOS,1827,10,MD2C19BX9TWH53016,1,$29567.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC CARB, ROJO",STREET,CEDIS TAB PXGL,MACROPAY OCOZOCOAUTLA PLAZA COITA L13,1604,10,MD2C19BX0TWH52935,1,$29567.33,0,$0,0,0
