Proveedor,Texto breve material,CEDIS MOTOS,SUCURSAL,Centro,Almacén,IMEI/SERIE,Suma de Libre utilización,Suma de Valor libre util.,Suma de Bloqueado,Suma de Valor stock bloq.,Suma de Inspecc.de calidad,Suma de Valor en insp.cal.
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",CEDIS CDMX,MACROPAY PUE REFORMA,1245,10,MD2C19BX0TWL71034,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",CEDIS GDL,MACROPAY GDL MOTOS PASEO ALCALDE,1919,10,MD2C19BX3TWK67444,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",CEDIS SALTILLO,CEDIS SALTILLO,29,140,MD2C19BX6TWK67700,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, PURPURA",CEDIS SAN LUIS,MACROPAY IRAPUATO FRAGARIA LB05,1530,10,MD2C19BXXTWK67828,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",CEDIS CULIACAN,MACROPAY GUAYMAS CENTRO 112,1882,10,MD2C19BX3TWK66004,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",CEDIS CULIACAN,MACROPAY LOS MOCHIS CENTRO,1852,10,MD2C19BX5TWK66005,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",CEDIS GDL,MACROPAY ZAPOPAN AV HIDALGO,1508,10,MD2C19BX7TWK66006,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 125CC, ROJO",CEDIS SALTILLO,MACROPAY TORREON CENTRO HIDALGO,1941,10,MD2C19BXXTWK66002,1,$32927.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY APIZACO PLAZA  L34,1545,10,MD2B54DX1TCL87342,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY CDMX CHEDRAUI TENAYUCA L6-7,1564,10,MD2B54DXXTCM95300,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY CDMX PARQUE JARDIN LB05,1558,10,MD2B54DX1TCM95301,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2B54DX1TCM95315,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY CHIMALHUACAN PLAZA L48,1301,10,MD2B54DX5TCM93499,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY NAUCALPAN ING MILITARES,1790,10,MD2B54DX8TCM95277,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY NEZAHUALCOYOTL SORIANA L15,1406,10,MD2B54DXXTCL87341,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY SAN G CUAUHTLA CARRETERA,1232,10,MD2B54DXXTCL87226,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY TEXMELUCAN CENTRO 2,1774,10,MD2B54DX7TCM95304,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY TLALNEPANTLA CENTRO,1902,10,MD2B54DX3TCM95302,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY TLALNEPANTLA ENCUENTRO L29,1400,10,MD2B54DX3TCM95297,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CDMX,MACROPAY TLALNEPANTLA ENCUENTRO L29,1400,10,MD2B54DX7TCM95299,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CULIACAN,MACROPAY DURANGO CENTRO,1865,10,MD2B54DX0TCL87316,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS CULIACAN,MACROPAY LOS CABOS PATIO L01E,1843,10,MD2B54DX9TCL87315,1,$35615.33,0,$0,0,0
BAJAJ,"MOTO BAJAJ PULSAR N 160CC, AZUL",CEDIS GDL,MACROPAY COLIMA CENTRO MADERO,1932,10,MD2B54DX1TCK82817,1,$35615.33,0,$0,0,0
